Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.7625,0.0222,0.643,0.0098,0.573,0.0129,0.6283,0.0288
0.1,0.5078,0.0184,0.6217,0.0358,-1,-1,0.5258,0.0327
0.2,0.5097,0.0188,0.6337,0.0283,-1,-1,0.5412,0.0336
0.3,0.5088,0.0176,0.6396,0.007,-1,-1,0.5689,0.02
0.4,0.5077,0.018,0.6503,0.0126,-1,-1,0.5941,0.0245
0.5,0.511,0.0195,0.6498,0.0127,-1,-1,0.6007,0.0182
0.6,0.5113,0.0194,0.6529,0.0183,-1,-1,0.5976,0.0163
0.7,0.5092,0.0215,0.6574,0.0189,-1,-1,0.5974,0.0135
0.8,0.5082,0.0229,0.6553,0.0181,-1,-1,0.5974,0.024
0.9,0.5098,0.0242,0.6545,0.0216,-1,-1,0.5968,0.0296
1.0,0.5109,0.0213,0.6548,0.0161,-1,-1,0.6056,0.0314
2.0,0.524,0.0176,0.6507,0.0109,-1,-1,0.612,0.0237
3.0,0.6133,0.0172,0.6546,0.0064,-1,-1,0.614,0.0268
4.0,0.688,0.0172,0.6477,0.0143,-1,-1,0.6233,0.0274
5.0,0.73,0.0109,0.6493,0.013,-1,-1,0.6226,0.0313
6.0,0.7341,0.0205,0.6478,0.0111,-1,-1,0.6212,0.0302
7.0,0.7387,0.0226,0.6503,0.0086,-1,-1,0.6251,0.0286
8.0,0.7538,0.0197,0.6479,0.0145,-1,-1,0.6268,0.027
9.0,0.7696,0.0196,0.6487,0.0108,-1,-1,0.6265,0.0275
10.0,0.7752,0.0193,0.6517,0.0123,-1,-1,0.6284,0.0246
