Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9401,0.0091,0.7145,0.0171,0.5,0.0,0.5,0.0
0.1,0.5056,0.0103,0.6718,0.0116,-1,-1,0.5,0.0
0.2,0.5016,0.0134,0.6823,0.0154,-1,-1,0.5,0.0
0.3,0.5068,0.0145,0.6943,0.0165,-1,-1,0.5,0.0
0.4,0.5097,0.0128,0.6999,0.0188,-1,-1,0.5,0.0
0.5,0.5086,0.0123,0.7033,0.0205,-1,-1,0.5,0.0
0.6,0.5165,0.0196,0.7049,0.0211,-1,-1,0.5,0.0
0.7,0.5129,0.0125,0.7099,0.0158,-1,-1,0.5,0.0
0.8,0.5167,0.009,0.7141,0.0167,-1,-1,0.5,0.0
0.9,0.5173,0.0076,0.7138,0.0152,-1,-1,0.5,0.0
1.0,0.5251,0.0157,0.7141,0.0174,-1,-1,0.5,0.0
2.0,0.5789,0.0051,0.7185,0.0138,-1,-1,0.5,0.0
3.0,0.6671,0.018,0.717,0.0164,-1,-1,0.5,0.0
4.0,0.7706,0.0212,0.7188,0.0147,-1,-1,0.5,0.0
5.0,0.858,0.0131,0.7172,0.0126,-1,-1,0.5,0.0
6.0,0.8997,0.0145,0.7115,0.0175,-1,-1,0.5,0.0
7.0,0.9165,0.0142,0.7138,0.0133,-1,-1,0.5,0.0
8.0,0.924,0.0108,0.7135,0.0129,-1,-1,0.5,0.0
9.0,0.9303,0.0069,0.7142,0.0143,-1,-1,0.5,0.0
10.0,0.9342,0.0095,0.7163,0.0134,-1,-1,0.5,0.0
