Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9988,0.0008,0.5509,0.0082,0.5,0.0,0.5,0.0
0.1,0.5008,0.0017,0.5431,0.0147,-1,-1,0.5,0.0
0.2,0.5008,0.0016,0.5413,0.0129,-1,-1,0.5,0.0
0.3,0.5008,0.0016,0.541,0.0118,-1,-1,0.5,0.0
0.4,0.5008,0.0016,0.5369,0.0136,-1,-1,0.5,0.0
0.5,0.501,0.0018,0.5395,0.0124,-1,-1,0.5,0.0
0.6,0.501,0.0018,0.5428,0.0115,-1,-1,0.5,0.0
0.7,0.501,0.0018,0.5436,0.0167,-1,-1,0.5,0.0
0.8,0.501,0.0018,0.5413,0.0107,-1,-1,0.5,0.0
0.9,0.5014,0.0021,0.5445,0.0099,-1,-1,0.5,0.0
1.0,0.5014,0.0021,0.5437,0.0108,-1,-1,0.5,0.0
2.0,0.5042,0.0019,0.5507,0.018,-1,-1,0.5,0.0
3.0,0.5098,0.0029,0.5541,0.0093,-1,-1,0.5,0.0
4.0,0.5232,0.0023,0.5568,0.0115,-1,-1,0.5,0.0
5.0,0.5572,0.0082,0.5591,0.0099,-1,-1,0.5,0.0
6.0,0.631,0.0071,0.5566,0.0151,-1,-1,0.5,0.0
7.0,0.7508,0.0062,0.5533,0.0119,-1,-1,0.5,0.0
8.0,0.8482,0.0089,0.5583,0.0074,-1,-1,0.5,0.0
9.0,0.9106,0.0092,0.5574,0.0082,-1,-1,0.5,0.0
10.0,0.9464,0.0075,0.5577,0.0091,-1,-1,0.5,0.0
