Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9995,0.0006,0.5887,0.0119,0.5,0.0,0.5,0.0
0.1,0.4996,0.0017,0.5801,0.0078,-1,-1,0.5,0.0
0.2,0.5,0.0017,0.5848,0.0102,-1,-1,0.5,0.0
0.3,0.5,0.0014,0.585,0.0108,-1,-1,0.5,0.0
0.4,0.5,0.0014,0.5858,0.0086,-1,-1,0.5,0.0
0.5,0.5,0.0014,0.5908,0.0102,-1,-1,0.5,0.0
0.6,0.5002,0.0015,0.5933,0.0119,-1,-1,0.5,0.0
0.7,0.5002,0.0015,0.5963,0.0098,-1,-1,0.5,0.0
0.8,0.5006,0.0019,0.5975,0.0087,-1,-1,0.5,0.0
0.9,0.5006,0.0018,0.5966,0.0122,-1,-1,0.5,0.0
1.0,0.501,0.0018,0.5959,0.0091,-1,-1,0.5,0.0
2.0,0.502,0.0023,0.6005,0.0135,-1,-1,0.5,0.0
3.0,0.5091,0.0025,0.5992,0.0083,-1,-1,0.5,0.0
4.0,0.5334,0.0037,0.5995,0.0109,-1,-1,0.5,0.0
5.0,0.5895,0.0041,0.5998,0.0149,-1,-1,0.5,0.0
6.0,0.6954,0.0116,0.5997,0.015,-1,-1,0.5,0.0
7.0,0.8209,0.0075,0.6069,0.0116,-1,-1,0.5,0.0
8.0,0.9042,0.0024,0.6058,0.013,-1,-1,0.5,0.0
9.0,0.945,0.0057,0.6049,0.0093,-1,-1,0.5,0.0
10.0,0.9692,0.0047,0.607,0.011,-1,-1,0.5,0.0
