Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9997,0.0003,0.5706,0.0076,0.501,0.0006,0.501,0.0006
0.1,0.5012,0.0072,0.5636,0.0164,-1,-1,0.501,0.0006
0.2,0.4982,0.0034,0.5724,0.0137,-1,-1,0.501,0.0006
0.3,0.501,0.0066,0.5716,0.0144,-1,-1,0.501,0.0006
0.4,0.4981,0.0085,0.5696,0.0165,-1,-1,0.501,0.0006
0.5,0.5021,0.0026,0.5672,0.0171,-1,-1,0.501,0.0006
0.6,0.4989,0.0084,0.5737,0.0177,-1,-1,0.501,0.0006
0.7,0.503,0.0087,0.5727,0.0128,-1,-1,0.501,0.0006
0.8,0.506,0.0113,0.5743,0.0177,-1,-1,0.501,0.0006
0.9,0.5016,0.0054,0.5729,0.019,-1,-1,0.501,0.0006
1.0,0.4996,0.0055,0.5771,0.0152,-1,-1,0.501,0.0006
2.0,0.5044,0.0072,0.5725,0.0183,-1,-1,0.501,0.0006
3.0,0.5031,0.0064,0.5756,0.013,-1,-1,0.501,0.0006
4.0,0.5243,0.008,0.5767,0.0156,-1,-1,0.501,0.0006
5.0,0.5831,0.0055,0.5776,0.0141,-1,-1,0.501,0.0006
6.0,0.7159,0.0129,0.5736,0.0148,-1,-1,0.501,0.0006
7.0,0.8494,0.0193,0.5777,0.014,-1,-1,0.501,0.0006
8.0,0.9311,0.0142,0.5728,0.0162,-1,-1,0.501,0.0006
9.0,0.9631,0.0074,0.5712,0.0177,-1,-1,0.501,0.0006
10.0,0.9809,0.0017,0.5722,0.0176,-1,-1,0.501,0.0006
