Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9999,0.0001,0.611,0.0168,0.5,0.0,0.5,0.0
0.1,0.5004,0.0005,0.6067,0.025,-1,-1,0.5,0.0
0.2,0.5004,0.0005,0.6183,0.0293,-1,-1,0.5,0.0
0.3,0.5004,0.0005,0.6167,0.0214,-1,-1,0.5,0.0
0.4,0.5004,0.0005,0.6132,0.0211,-1,-1,0.5,0.0
0.5,0.5004,0.0005,0.6153,0.0187,-1,-1,0.5,0.0
0.6,0.5004,0.0005,0.6199,0.0204,-1,-1,0.5,0.0
0.7,0.5004,0.0005,0.6185,0.0187,-1,-1,0.5,0.0
0.8,0.5004,0.0005,0.6185,0.0174,-1,-1,0.5,0.0
0.9,0.5004,0.0005,0.62,0.0172,-1,-1,0.5,0.0
1.0,0.5004,0.0005,0.6229,0.0194,-1,-1,0.5,0.0
2.0,0.5008,0.0007,0.6233,0.0157,-1,-1,0.5,0.0
3.0,0.502,0.0014,0.6231,0.0196,-1,-1,0.5,0.0
4.0,0.5044,0.0015,0.6203,0.0171,-1,-1,0.5,0.0
5.0,0.5144,0.0019,0.6292,0.0126,-1,-1,0.5,0.0
6.0,0.5384,0.0044,0.6315,0.0184,-1,-1,0.5,0.0
7.0,0.5982,0.0113,0.6264,0.0183,-1,-1,0.5,0.0
8.0,0.707,0.008,0.6273,0.016,-1,-1,0.5,0.0
9.0,0.8259,0.0148,0.6232,0.0174,-1,-1,0.5,0.0
10.0,0.8935,0.0083,0.6257,0.0185,-1,-1,0.5,0.0
