Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5365,0.0212,0.5096,0.0144,0.4874,0.0188,0.5057,0.0223
0.1,0.4838,0.0207,0.5173,0.0111,-1,-1,0.4965,0.0135
0.2,0.4896,0.0213,0.5202,0.0226,-1,-1,0.5054,0.0115
0.3,0.4968,0.0228,0.5179,0.0231,-1,-1,0.5027,0.0077
0.4,0.4815,0.0092,0.5123,0.0217,-1,-1,0.5,0.022
0.5,0.4887,0.0231,0.5248,0.0276,-1,-1,0.5021,0.0299
0.6,0.4717,0.0279,0.5221,0.029,-1,-1,0.4973,0.013
0.7,0.4897,0.0295,0.5225,0.012,-1,-1,0.5066,0.0123
0.8,0.4793,0.0176,0.5073,0.0256,-1,-1,0.5044,0.0161
0.9,0.4839,0.0158,0.5164,0.0199,-1,-1,0.5076,0.0147
1.0,0.4844,0.0249,0.515,0.0179,-1,-1,0.4991,0.0155
2.0,0.4999,0.0281,0.5197,0.032,-1,-1,0.4922,0.0147
3.0,0.4729,0.0189,0.5244,0.0266,-1,-1,0.5003,0.0178
4.0,0.5121,0.0186,0.5206,0.0255,-1,-1,0.5032,0.0206
5.0,0.5339,0.0195,0.5244,0.0284,-1,-1,0.5003,0.014
6.0,0.5322,0.0213,0.512,0.0264,-1,-1,0.5044,0.009
7.0,0.5294,0.0093,0.5186,0.0193,-1,-1,0.5024,0.013
8.0,0.5373,0.0126,0.513,0.0147,-1,-1,0.5068,0.0121
9.0,0.5345,0.0211,0.5098,0.0227,-1,-1,0.4978,0.0157
10.0,0.537,0.0092,0.5096,0.0301,-1,-1,0.5095,0.009
