Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.538,0.0198,0.5452,0.022,0.5059,0.0126,0.5188,0.0217
0.1,0.4638,0.0208,0.522,0.0143,-1,-1,0.5101,0.0226
0.2,0.464,0.0216,0.5266,0.0187,-1,-1,0.5129,0.0241
0.3,0.4646,0.0123,0.5327,0.0136,-1,-1,0.5167,0.0215
0.4,0.4683,0.0309,0.5294,0.0118,-1,-1,0.5128,0.0215
0.5,0.4806,0.0158,0.5247,0.006,-1,-1,0.516,0.0189
0.6,0.4697,0.0215,0.5295,0.0237,-1,-1,0.5137,0.0215
0.7,0.4665,0.0206,0.5223,0.0039,-1,-1,0.5178,0.0191
0.8,0.4712,0.0236,0.5199,0.007,-1,-1,0.5134,0.0224
0.9,0.4682,0.023,0.5229,0.0132,-1,-1,0.5166,0.0217
1.0,0.4675,0.0184,0.5197,0.0078,-1,-1,0.5193,0.0208
2.0,0.4723,0.027,0.5232,0.0094,-1,-1,0.5157,0.0248
3.0,0.488,0.0207,0.5271,0.0111,-1,-1,0.5187,0.0213
4.0,0.511,0.0129,0.5306,0.0109,-1,-1,0.5163,0.0205
5.0,0.537,0.0263,0.5303,0.0072,-1,-1,0.5157,0.0235
6.0,0.5325,0.0179,0.5325,0.0103,-1,-1,0.5152,0.0226
7.0,0.5438,0.0214,0.5361,0.0135,-1,-1,0.5127,0.0258
8.0,0.5336,0.0124,0.5248,0.0081,-1,-1,0.5169,0.0233
9.0,0.5394,0.011,0.5328,0.0147,-1,-1,0.517,0.0219
10.0,0.5339,0.0063,0.5333,0.0086,-1,-1,0.5186,0.0215
