Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9963,0.0019,0.7862,0.0368,0.5,0.0,0.5,0.0
0.1,0.5388,0.0175,0.7836,0.0356,-1,-1,0.5,0.0
0.2,0.5373,0.0225,0.7789,0.0286,-1,-1,0.5,0.0
0.3,0.5415,0.0113,0.7738,0.0334,-1,-1,0.5,0.0
0.4,0.5355,0.0148,0.7817,0.0312,-1,-1,0.5,0.0
0.5,0.5448,0.0098,0.7804,0.0329,-1,-1,0.5,0.0
0.6,0.5509,0.0146,0.7826,0.0276,-1,-1,0.5,0.0
0.7,0.5465,0.0184,0.7807,0.0311,-1,-1,0.5,0.0
0.8,0.5483,0.0198,0.7879,0.0279,-1,-1,0.5,0.0
0.9,0.5602,0.0222,0.7805,0.0264,-1,-1,0.5,0.0
1.0,0.5482,0.0056,0.7794,0.0279,-1,-1,0.5,0.0
2.0,0.5773,0.0201,0.7839,0.0253,-1,-1,0.5,0.0
3.0,0.6278,0.0223,0.783,0.0285,-1,-1,0.5,0.0
4.0,0.7275,0.0156,0.7835,0.0256,-1,-1,0.5,0.0
5.0,0.8298,0.0102,0.7816,0.0263,-1,-1,0.5,0.0
6.0,0.915,0.0105,0.78,0.0269,-1,-1,0.5,0.0
7.0,0.9569,0.0058,0.7846,0.0311,-1,-1,0.5,0.0
8.0,0.9772,0.0038,0.7805,0.0233,-1,-1,0.5,0.0
9.0,0.984,0.0017,0.7831,0.0238,-1,-1,0.5,0.0
10.0,0.9894,0.0036,0.7859,0.025,-1,-1,0.5,0.0
