Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9948,0.0011,0.7557,0.0335,0.5,0.0,0.5,0.0
0.1,0.5159,0.0083,0.754,0.0219,-1,-1,0.5,0.0
0.2,0.5112,0.0139,0.7538,0.021,-1,-1,0.5,0.0
0.3,0.5223,0.0109,0.7544,0.0149,-1,-1,0.5,0.0
0.4,0.5216,0.0167,0.7586,0.0124,-1,-1,0.5,0.0
0.5,0.5287,0.0163,0.761,0.0153,-1,-1,0.5,0.0
0.6,0.5202,0.0142,0.7632,0.017,-1,-1,0.5,0.0
0.7,0.5164,0.0107,0.7602,0.0151,-1,-1,0.5,0.0
0.8,0.5233,0.0155,0.7609,0.0196,-1,-1,0.5,0.0
0.9,0.5229,0.0176,0.7642,0.0203,-1,-1,0.5,0.0
1.0,0.5334,0.0121,0.7604,0.0168,-1,-1,0.5,0.0
2.0,0.557,0.0141,0.7617,0.0185,-1,-1,0.5,0.0
3.0,0.6096,0.0091,0.7645,0.0182,-1,-1,0.5,0.0
4.0,0.7038,0.0065,0.7628,0.0161,-1,-1,0.5,0.0
5.0,0.8223,0.005,0.765,0.0137,-1,-1,0.5,0.0
6.0,0.903,0.006,0.7642,0.0145,-1,-1,0.5,0.0
7.0,0.9427,0.0024,0.7659,0.0138,-1,-1,0.5,0.0
8.0,0.9681,0.0021,0.7633,0.0129,-1,-1,0.5,0.0
9.0,0.9778,0.002,0.7655,0.0171,-1,-1,0.5,0.0
10.0,0.9832,0.0015,0.7629,0.0168,-1,-1,0.5,0.0
