Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,1.0,0.0,0.548,0.0567,0.5,0.0,0.5,0.0
0.1,0.4634,0.0433,0.535,0.066,-1,-1,0.5,0.0
0.2,0.4296,0.0301,0.4883,0.0413,-1,-1,0.5,0.0
0.3,0.456,0.0753,0.5256,0.0487,-1,-1,0.5,0.0
0.4,0.4414,0.0553,0.5359,0.0469,-1,-1,0.5,0.0
0.5,0.4624,0.0274,0.5315,0.0461,-1,-1,0.5,0.0
0.6,0.475,0.08,0.5336,0.0697,-1,-1,0.5,0.0
0.7,0.4534,0.0677,0.5467,0.0657,-1,-1,0.5,0.0
0.8,0.5245,0.0421,0.5122,0.0845,-1,-1,0.5,0.0
0.9,0.4671,0.059,0.5219,0.0531,-1,-1,0.5,0.0
1.0,0.4786,0.0642,0.5153,0.0512,-1,-1,0.5,0.0
2.0,0.4822,0.1221,0.5409,0.0699,-1,-1,0.5,0.0
3.0,0.5346,0.054,0.512,0.0544,-1,-1,0.5,0.0
4.0,0.6284,0.0694,0.5159,0.0531,-1,-1,0.5,0.0
5.0,0.6871,0.0918,0.5259,0.0447,-1,-1,0.5,0.0
6.0,0.7788,0.0641,0.5229,0.0479,-1,-1,0.5,0.0
7.0,0.8164,0.0998,0.5145,0.0618,-1,-1,0.5,0.0
8.0,0.8528,0.1109,0.5156,0.0765,-1,-1,0.5,0.0
9.0,0.9219,0.0322,0.5372,0.0689,-1,-1,0.5,0.0
10.0,0.9336,0.0456,0.5588,0.0527,-1,-1,0.5,0.0
