Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5211,0.0289,0.4939,0.0188,0.4681,0.0235,0.4726,0.0137
0.1,0.4851,0.0193,0.5066,0.0161,-1,-1,0.471,0.0243
0.2,0.507,0.0285,0.4913,0.0101,-1,-1,0.4489,0.0206
0.3,0.485,0.0312,0.5061,0.0362,-1,-1,0.4791,0.0119
0.4,0.5088,0.021,0.5084,0.0238,-1,-1,0.4631,0.0306
0.5,0.482,0.0183,0.5097,0.0189,-1,-1,0.4879,0.008
0.6,0.5008,0.0289,0.5031,0.0275,-1,-1,0.4634,0.0254
0.7,0.4865,0.0426,0.5003,0.0415,-1,-1,0.4793,0.0175
0.8,0.4874,0.0245,0.5057,0.0304,-1,-1,0.4755,0.0158
0.9,0.4957,0.0287,0.5043,0.0363,-1,-1,0.4679,0.023
1.0,0.4756,0.015,0.5064,0.0321,-1,-1,0.4681,0.0098
2.0,0.4968,0.0121,0.5193,0.0337,-1,-1,0.474,0.0163
3.0,0.4855,0.032,0.5182,0.0351,-1,-1,0.4652,0.0271
4.0,0.4947,0.0311,0.492,0.0151,-1,-1,0.4603,0.0308
5.0,0.4689,0.0272,0.4934,0.023,-1,-1,0.4674,0.0342
6.0,0.4985,0.0103,0.4972,0.0132,-1,-1,0.4757,0.017
7.0,0.4996,0.0339,0.4994,0.0157,-1,-1,0.4644,0.029
8.0,0.5082,0.0441,0.5032,0.0105,-1,-1,0.4705,0.0328
9.0,0.5132,0.0227,0.5152,0.0163,-1,-1,0.487,0.0213
10.0,0.5288,0.0238,0.5098,0.0217,-1,-1,0.4723,0.0353
