Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5513,0.0093,0.5338,0.0058,0.5188,0.0084,0.5192,0.0123
0.1,0.5044,0.0091,0.5478,0.018,-1,-1,0.5124,0.011
0.2,0.5095,0.0087,0.5399,0.0354,-1,-1,0.507,0.0081
0.3,0.4977,0.0106,0.5373,0.0212,-1,-1,0.5111,0.0072
0.4,0.4985,0.0148,0.5242,0.0125,-1,-1,0.5121,0.0079
0.5,0.5052,0.0092,0.5442,0.0067,-1,-1,0.5068,0.0109
0.6,0.5032,0.0054,0.5535,0.0184,-1,-1,0.5161,0.007
0.7,0.4993,0.0065,0.5296,0.0226,-1,-1,0.5118,0.009
0.8,0.5003,0.0075,0.5295,0.0142,-1,-1,0.5113,0.0078
0.9,0.5021,0.0146,0.532,0.0121,-1,-1,0.5156,0.0147
1.0,0.5018,0.0107,0.5315,0.0223,-1,-1,0.5107,0.0121
2.0,0.4953,0.0082,0.5461,0.0189,-1,-1,0.5151,0.0149
3.0,0.5108,0.0128,0.5322,0.0191,-1,-1,0.511,0.012
4.0,0.5054,0.0151,0.5458,0.0144,-1,-1,0.5161,0.0126
5.0,0.5089,0.0144,0.5489,0.0256,-1,-1,0.5133,0.0101
6.0,0.5175,0.0088,0.5403,0.018,-1,-1,0.5128,0.0106
7.0,0.5382,0.0175,0.5447,0.0138,-1,-1,0.5109,0.01
8.0,0.5336,0.0108,0.5432,0.0246,-1,-1,0.5129,0.0105
9.0,0.5362,0.0143,0.5333,0.0126,-1,-1,0.5156,0.011
10.0,0.5426,0.0105,0.5293,0.0129,-1,-1,0.514,0.0119
