Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9987,0.0005,0.7639,0.0266,0.5,0.0,0.5,0.0
0.1,0.4964,0.0155,0.7297,0.0279,-1,-1,0.5,0.0
0.2,0.4966,0.0159,0.7443,0.0285,-1,-1,0.5,0.0
0.3,0.4957,0.0158,0.7592,0.0358,-1,-1,0.5,0.0
0.4,0.4941,0.0106,0.7572,0.0342,-1,-1,0.5,0.0
0.5,0.4965,0.0142,0.7598,0.0387,-1,-1,0.5,0.0
0.6,0.4967,0.0136,0.7628,0.0348,-1,-1,0.5,0.0
0.7,0.4959,0.0148,0.7673,0.04,-1,-1,0.5,0.0
0.8,0.4972,0.0132,0.766,0.0414,-1,-1,0.5,0.0
0.9,0.4956,0.0148,0.7705,0.0446,-1,-1,0.5,0.0
1.0,0.4961,0.0116,0.7748,0.0354,-1,-1,0.5,0.0
2.0,0.4992,0.0113,0.7779,0.0464,-1,-1,0.5,0.0
3.0,0.5102,0.0175,0.7743,0.0359,-1,-1,0.5,0.0
4.0,0.5583,0.0273,0.7692,0.0422,-1,-1,0.5,0.0
5.0,0.6592,0.0195,0.7724,0.0402,-1,-1,0.5,0.0
6.0,0.8034,0.0206,0.7715,0.046,-1,-1,0.5,0.0
7.0,0.9162,0.0126,0.7798,0.0375,-1,-1,0.5,0.0
8.0,0.9602,0.0057,0.7758,0.0426,-1,-1,0.5,0.0
9.0,0.9733,0.0051,0.7689,0.0394,-1,-1,0.5,0.0
10.0,0.9846,0.0087,0.7786,0.0401,-1,-1,0.5,0.0
