Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9934,0.0008,0.7877,0.0067,0.5,0.0,0.5,0.0
0.1,0.4989,0.0034,0.7251,0.0312,-1,-1,0.5,0.0
0.2,0.498,0.0034,0.7398,0.0275,-1,-1,0.5,0.0
0.3,0.498,0.0043,0.7479,0.0299,-1,-1,0.5,0.0
0.4,0.4977,0.0027,0.7516,0.0294,-1,-1,0.5,0.0
0.5,0.4991,0.0033,0.7565,0.0272,-1,-1,0.5,0.0
0.6,0.4993,0.0035,0.7592,0.0263,-1,-1,0.5,0.0
0.7,0.4992,0.0035,0.7601,0.0263,-1,-1,0.5,0.0
0.8,0.4999,0.0027,0.767,0.0247,-1,-1,0.5,0.0
0.9,0.4996,0.0035,0.7674,0.023,-1,-1,0.5,0.0
1.0,0.5007,0.0034,0.771,0.0239,-1,-1,0.5,0.0
2.0,0.5049,0.0021,0.7783,0.0224,-1,-1,0.5,0.0
3.0,0.518,0.0033,0.7811,0.0197,-1,-1,0.5,0.0
4.0,0.5602,0.0077,0.7817,0.0193,-1,-1,0.5,0.0
5.0,0.666,0.015,0.7811,0.0196,-1,-1,0.5,0.0
6.0,0.8102,0.0086,0.7819,0.0216,-1,-1,0.5,0.0
7.0,0.9091,0.0061,0.7817,0.019,-1,-1,0.5,0.0
8.0,0.951,0.0036,0.7798,0.0191,-1,-1,0.5,0.0
9.0,0.9701,0.0044,0.7824,0.0195,-1,-1,0.5,0.0
10.0,0.98,0.0027,0.7813,0.0194,-1,-1,0.5,0.0
