Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,1.0,0.0,0.4807,0.0287,0.5,0.0,0.5,0.0
0.1,0.5051,0.0282,0.4398,0.0125,-1,-1,0.5,0.0
0.2,0.5061,0.0261,0.4404,0.0128,-1,-1,0.5,0.0
0.3,0.5068,0.0252,0.4622,0.0128,-1,-1,0.5,0.0
0.4,0.5055,0.0255,0.4508,0.0187,-1,-1,0.5,0.0
0.5,0.5067,0.0241,0.4418,0.0137,-1,-1,0.5,0.0
0.6,0.5014,0.02,0.4527,0.0279,-1,-1,0.5,0.0
0.7,0.5068,0.0245,0.449,0.0163,-1,-1,0.5,0.0
0.8,0.5076,0.0244,0.4472,0.0181,-1,-1,0.5,0.0
0.9,0.5072,0.0238,0.4626,0.0317,-1,-1,0.5,0.0
1.0,0.5065,0.0241,0.4648,0.0194,-1,-1,0.5,0.0
2.0,0.5008,0.0351,0.459,0.0282,-1,-1,0.5,0.0
3.0,0.5015,0.0356,0.4445,0.013,-1,-1,0.5,0.0
4.0,0.5185,0.0457,0.4583,0.0257,-1,-1,0.5,0.0
5.0,0.5396,0.0558,0.4804,0.0384,-1,-1,0.5,0.0
6.0,0.6432,0.103,0.4518,0.0221,-1,-1,0.5,0.0
7.0,0.8239,0.0939,0.4434,0.0157,-1,-1,0.5,0.0
8.0,0.8773,0.0718,0.4565,0.0209,-1,-1,0.5,0.0
9.0,0.9127,0.0536,0.4523,0.029,-1,-1,0.5,0.0
10.0,0.9347,0.0603,0.4534,0.0159,-1,-1,0.5,0.0
