Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.646,0.1046,0.4765,0.1102,0.4457,0.0568,0.42,0.1085
0.1,0.4632,0.0689,0.5145,0.0768,-1,-1,0.4125,0.0962
0.2,0.5135,0.0678,0.538,0.0975,-1,-1,0.4236,0.1089
0.3,0.487,0.1154,0.4787,0.0687,-1,-1,0.4284,0.1103
0.4,0.5058,0.0777,0.5198,0.0789,-1,-1,0.4152,0.1034
0.5,0.48,0.0968,0.4956,0.0855,-1,-1,0.415,0.1038
0.6,0.4586,0.1073,0.4749,0.0905,-1,-1,0.4108,0.0927
0.7,0.4963,0.0832,0.4895,0.055,-1,-1,0.4107,0.0926
0.8,0.4869,0.0961,0.4683,0.0887,-1,-1,0.4238,0.0864
0.9,0.469,0.1277,0.4911,0.1107,-1,-1,0.4375,0.0914
1.0,0.498,0.1011,0.5263,0.0698,-1,-1,0.4249,0.1108
2.0,0.4557,0.0506,0.524,0.1196,-1,-1,0.4213,0.1089
3.0,0.4918,0.0614,0.4999,0.0833,-1,-1,0.4159,0.1039
4.0,0.5159,0.096,0.464,0.117,-1,-1,0.4222,0.1079
5.0,0.4699,0.0752,0.4701,0.0846,-1,-1,0.4148,0.0974
6.0,0.4834,0.0523,0.4729,0.1123,-1,-1,0.4155,0.1023
7.0,0.5178,0.0468,0.5077,0.0992,-1,-1,0.417,0.1044
8.0,0.5882,0.0715,0.4841,0.1124,-1,-1,0.4215,0.1074
9.0,0.6427,0.0483,0.4765,0.0709,-1,-1,0.4165,0.1038
10.0,0.6106,0.0317,0.499,0.0799,-1,-1,0.4141,0.0981
