Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9934,0.0025,0.8243,0.0179,0.5,0.0,0.5,0.0
0.1,0.5179,0.022,0.7999,0.0192,-1,-1,0.5,0.0
0.2,0.5286,0.018,0.8022,0.0185,-1,-1,0.5,0.0
0.3,0.5218,0.0254,0.8081,0.0227,-1,-1,0.5,0.0
0.4,0.5249,0.0132,0.8066,0.029,-1,-1,0.5,0.0
0.5,0.5227,0.0233,0.8134,0.0259,-1,-1,0.5,0.0
0.6,0.5256,0.0164,0.8086,0.0267,-1,-1,0.5,0.0
0.7,0.5324,0.0264,0.8097,0.0292,-1,-1,0.5,0.0
0.8,0.54,0.0286,0.812,0.0274,-1,-1,0.5,0.0
0.9,0.5384,0.0242,0.8108,0.0314,-1,-1,0.5,0.0
1.0,0.5492,0.0267,0.8126,0.0273,-1,-1,0.5,0.0
2.0,0.5806,0.039,0.8132,0.0293,-1,-1,0.5,0.0
3.0,0.6462,0.0361,0.8165,0.0294,-1,-1,0.5,0.0
4.0,0.7599,0.0313,0.8134,0.029,-1,-1,0.5,0.0
5.0,0.8623,0.0243,0.8186,0.0303,-1,-1,0.5,0.0
6.0,0.9315,0.0127,0.8148,0.0295,-1,-1,0.5,0.0
7.0,0.9583,0.0062,0.8129,0.0304,-1,-1,0.5,0.0
8.0,0.973,0.0061,0.8152,0.0292,-1,-1,0.5,0.0
9.0,0.9827,0.002,0.8154,0.0308,-1,-1,0.5,0.0
10.0,0.9864,0.0012,0.8144,0.0309,-1,-1,0.5,0.0
