Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,1.0,0.0,0.5063,0.0323,0.5,0.0,0.5,0.0
0.1,0.4598,0.1199,0.5154,0.0463,-1,-1,0.5,0.0
0.2,0.4376,0.1216,0.5161,0.0478,-1,-1,0.5,0.0
0.3,0.4634,0.1008,0.5338,0.059,-1,-1,0.5,0.0
0.4,0.4524,0.1023,0.5183,0.034,-1,-1,0.5,0.0
0.5,0.4453,0.1244,0.489,0.0317,-1,-1,0.5,0.0
0.6,0.4432,0.1365,0.5086,0.0252,-1,-1,0.5,0.0
0.7,0.495,0.0983,0.5111,0.0272,-1,-1,0.5,0.0
0.8,0.4892,0.096,0.5101,0.0277,-1,-1,0.5,0.0
0.9,0.4819,0.0995,0.5186,0.0461,-1,-1,0.5,0.0
1.0,0.4807,0.1037,0.501,0.0225,-1,-1,0.5,0.0
2.0,0.4745,0.0867,0.5298,0.0368,-1,-1,0.5,0.0
3.0,0.5168,0.102,0.5106,0.0376,-1,-1,0.5,0.0
4.0,0.6206,0.0938,0.5175,0.0303,-1,-1,0.5,0.0
5.0,0.6955,0.1232,0.5003,0.0226,-1,-1,0.5,0.0
6.0,0.8322,0.0787,0.4873,0.0378,-1,-1,0.5,0.0
7.0,0.9204,0.0799,0.5107,0.0226,-1,-1,0.5,0.0
8.0,0.9553,0.0793,0.5266,0.0517,-1,-1,0.5,0.0
9.0,0.9678,0.0432,0.5455,0.0353,-1,-1,0.5,0.0
10.0,0.9768,0.0287,0.5115,0.0502,-1,-1,0.5,0.0
