Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5717,0.014,0.5384,0.0287,0.4586,0.0107,0.4357,0.0087
0.1,0.512,0.0207,0.5295,0.0211,-1,-1,0.448,0.0336
0.2,0.5038,0.0169,0.543,0.019,-1,-1,0.4343,0.0309
0.3,0.5117,0.0195,0.5406,0.0198,-1,-1,0.4476,0.0248
0.4,0.5055,0.0152,0.5451,0.03,-1,-1,0.4649,0.0096
0.5,0.5117,0.02,0.537,0.0239,-1,-1,0.4485,0.0179
0.6,0.5082,0.0144,0.5304,0.032,-1,-1,0.4189,0.0186
0.7,0.5121,0.017,0.5343,0.0321,-1,-1,0.4414,0.0309
0.8,0.5184,0.0192,0.5243,0.0213,-1,-1,0.4375,0.028
0.9,0.5141,0.0186,0.5318,0.0278,-1,-1,0.4408,0.0291
1.0,0.5168,0.0154,0.5242,0.0217,-1,-1,0.4481,0.022
2.0,0.5377,0.0269,0.53,0.0164,-1,-1,0.4534,0.0183
3.0,0.5511,0.0292,0.5339,0.0281,-1,-1,0.4363,0.0226
4.0,0.5519,0.0343,0.5355,0.0217,-1,-1,0.446,0.0337
5.0,0.5487,0.0318,0.5344,0.0181,-1,-1,0.4477,0.0303
6.0,0.5323,0.0291,0.5344,0.0145,-1,-1,0.4324,0.0223
7.0,0.5704,0.0221,0.5333,0.0188,-1,-1,0.4405,0.033
8.0,0.5658,0.0282,0.5336,0.0145,-1,-1,0.4323,0.0204
9.0,0.5508,0.0229,0.5316,0.0189,-1,-1,0.4536,0.0209
10.0,0.5467,0.0188,0.536,0.0142,-1,-1,0.4467,0.0147
