Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5449,0.0186,0.5247,0.0168,0.4817,0.0089,0.4776,0.0098
0.1,0.5035,0.0081,0.5321,0.0137,-1,-1,0.4707,0.0138
0.2,0.5017,0.0073,0.5309,0.0084,-1,-1,0.4614,0.0034
0.3,0.5026,0.0089,0.5313,0.0101,-1,-1,0.4769,0.0138
0.4,0.5029,0.0104,0.5317,0.0075,-1,-1,0.4739,0.0114
0.5,0.5041,0.0109,0.5247,0.0125,-1,-1,0.4658,0.0149
0.6,0.504,0.0092,0.5289,0.0133,-1,-1,0.4747,0.0198
0.7,0.5072,0.0119,0.5223,0.0082,-1,-1,0.4683,0.0204
0.8,0.5069,0.013,0.5252,0.0121,-1,-1,0.4737,0.0182
0.9,0.5091,0.0145,0.5308,0.0084,-1,-1,0.4728,0.0089
1.0,0.5077,0.0123,0.5253,0.0075,-1,-1,0.4819,0.0101
2.0,0.5164,0.0157,0.5256,0.014,-1,-1,0.4678,0.0172
3.0,0.5382,0.024,0.519,0.011,-1,-1,0.4702,0.0203
4.0,0.5477,0.0285,0.5196,0.0122,-1,-1,0.4617,0.024
5.0,0.543,0.0193,0.5234,0.0115,-1,-1,0.4779,0.0199
6.0,0.5447,0.0245,0.5243,0.0092,-1,-1,0.4675,0.0172
7.0,0.565,0.0248,0.5246,0.0128,-1,-1,0.4869,0.006
8.0,0.5597,0.0242,0.5223,0.0146,-1,-1,0.4646,0.0152
9.0,0.5375,0.0103,0.5282,0.0143,-1,-1,0.4692,0.0201
10.0,0.5498,0.0197,0.5303,0.0192,-1,-1,0.4741,0.0131
