Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9886,0.0014,0.8647,0.0136,0.5,0.0,0.5,0.0
0.1,0.5322,0.0073,0.8354,0.0176,-1,-1,0.5,0.0
0.2,0.5386,0.0122,0.8439,0.0175,-1,-1,0.5,0.0
0.3,0.54,0.0097,0.8431,0.0168,-1,-1,0.5,0.0
0.4,0.5429,0.0077,0.8485,0.017,-1,-1,0.5,0.0
0.5,0.5442,0.0087,0.8548,0.0194,-1,-1,0.5,0.0
0.6,0.5498,0.0108,0.8592,0.0149,-1,-1,0.5,0.0
0.7,0.5505,0.0058,0.8621,0.0159,-1,-1,0.5,0.0
0.8,0.5572,0.0061,0.8634,0.0156,-1,-1,0.5,0.0
0.9,0.56,0.0082,0.8652,0.0154,-1,-1,0.5,0.0
1.0,0.5632,0.0068,0.8653,0.0153,-1,-1,0.5,0.0
2.0,0.6419,0.0062,0.8691,0.0153,-1,-1,0.5,0.0
3.0,0.7569,0.018,0.8701,0.0142,-1,-1,0.5,0.0
4.0,0.8561,0.0144,0.871,0.0138,-1,-1,0.5,0.0
5.0,0.9257,0.0024,0.8699,0.0146,-1,-1,0.5,0.0
6.0,0.9561,0.0046,0.8698,0.0145,-1,-1,0.5,0.0
7.0,0.9696,0.0036,0.8708,0.0154,-1,-1,0.5,0.0
8.0,0.9782,0.0022,0.872,0.0141,-1,-1,0.5,0.0
9.0,0.9796,0.0043,0.8699,0.0145,-1,-1,0.5,0.0
10.0,0.9852,0.001,0.8708,0.0141,-1,-1,0.5,0.0
