Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.981,0.0045,0.8356,0.0079,0.5,0.0,0.5,0.0
0.1,0.5327,0.0083,0.792,0.0271,-1,-1,0.5,0.0
0.2,0.5398,0.0081,0.8033,0.0234,-1,-1,0.5,0.0
0.3,0.5388,0.0046,0.8087,0.0198,-1,-1,0.5,0.0
0.4,0.5446,0.0048,0.8164,0.0191,-1,-1,0.5,0.0
0.5,0.545,0.0053,0.8221,0.0188,-1,-1,0.5,0.0
0.6,0.5504,0.0082,0.8296,0.0207,-1,-1,0.5,0.0
0.7,0.5533,0.0076,0.833,0.0189,-1,-1,0.5,0.0
0.8,0.5614,0.0069,0.8363,0.0182,-1,-1,0.5,0.0
0.9,0.5601,0.0071,0.8383,0.0168,-1,-1,0.5,0.0
1.0,0.5689,0.0053,0.8392,0.0154,-1,-1,0.5,0.0
2.0,0.6346,0.0101,0.8437,0.0106,-1,-1,0.5,0.0
3.0,0.7428,0.0055,0.8459,0.0093,-1,-1,0.5,0.0
4.0,0.8447,0.0047,0.8449,0.0092,-1,-1,0.5,0.0
5.0,0.9104,0.0033,0.8451,0.0104,-1,-1,0.5,0.0
6.0,0.9433,0.0015,0.8454,0.0096,-1,-1,0.5,0.0
7.0,0.9587,0.0056,0.8444,0.0102,-1,-1,0.5,0.0
8.0,0.9646,0.0034,0.8453,0.0104,-1,-1,0.5,0.0
9.0,0.9706,0.0031,0.8449,0.0101,-1,-1,0.5,0.0
10.0,0.9745,0.0019,0.8443,0.0098,-1,-1,0.5,0.0
