Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9999,0.0001,0.4683,0.0155,0.5,0.0,0.5,0.0
0.1,0.5019,0.0132,0.5066,0.0201,-1,-1,0.5,0.0
0.2,0.5049,0.0221,0.4802,0.0132,-1,-1,0.5,0.0
0.3,0.506,0.0296,0.4771,0.0128,-1,-1,0.5,0.0
0.4,0.5062,0.0193,0.4801,0.0086,-1,-1,0.5,0.0
0.5,0.505,0.0133,0.4757,0.0133,-1,-1,0.5,0.0
0.6,0.5185,0.0173,0.4762,0.012,-1,-1,0.5,0.0
0.7,0.5144,0.0056,0.4732,0.0084,-1,-1,0.5,0.0
0.8,0.5154,0.0137,0.4708,0.0159,-1,-1,0.5,0.0
0.9,0.5168,0.0143,0.475,0.0171,-1,-1,0.5,0.0
1.0,0.519,0.0162,0.4743,0.0159,-1,-1,0.5,0.0
2.0,0.5534,0.0237,0.4786,0.0173,-1,-1,0.5,0.0
3.0,0.64,0.0279,0.471,0.0156,-1,-1,0.5,0.0
4.0,0.8136,0.0401,0.4729,0.0067,-1,-1,0.5,0.0
5.0,0.8991,0.0424,0.474,0.0169,-1,-1,0.5,0.0
6.0,0.9405,0.0202,0.4664,0.0141,-1,-1,0.5,0.0
7.0,0.9665,0.0131,0.4688,0.0156,-1,-1,0.5,0.0
8.0,0.9794,0.0117,0.4751,0.0142,-1,-1,0.5,0.0
9.0,0.9886,0.0118,0.4725,0.0159,-1,-1,0.5,0.0
10.0,0.9897,0.0122,0.4684,0.0203,-1,-1,0.5,0.0
