Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5348,0.0116,0.5255,0.0242,0.4789,0.0148,0.4853,0.0124
0.1,0.4905,0.0173,0.5183,0.0129,-1,-1,0.4645,0.0084
0.2,0.4959,0.019,0.5234,0.018,-1,-1,0.4717,0.0237
0.3,0.5015,0.0273,0.532,0.0084,-1,-1,0.4823,0.0125
0.4,0.4867,0.0258,0.5176,0.0187,-1,-1,0.4831,0.0049
0.5,0.4871,0.0163,0.5327,0.0193,-1,-1,0.4713,0.0198
0.6,0.5004,0.0245,0.5324,0.0194,-1,-1,0.479,0.0108
0.7,0.498,0.0276,0.5272,0.0111,-1,-1,0.4817,0.0046
0.8,0.4915,0.0238,0.5115,0.0156,-1,-1,0.4849,0.006
0.9,0.4903,0.0208,0.5339,0.0219,-1,-1,0.4857,0.0099
1.0,0.4913,0.0156,0.5281,0.0086,-1,-1,0.4865,0.0087
2.0,0.497,0.0074,0.5304,0.0236,-1,-1,0.483,0.0175
3.0,0.4986,0.011,0.5247,0.0288,-1,-1,0.4813,0.0101
4.0,0.5229,0.0261,0.5275,0.0137,-1,-1,0.4827,0.0172
5.0,0.5114,0.0278,0.521,0.0132,-1,-1,0.48,0.0108
6.0,0.5108,0.0199,0.5213,0.0169,-1,-1,0.4804,0.0083
7.0,0.5221,0.0074,0.519,0.013,-1,-1,0.4817,0.01
8.0,0.5166,0.0169,0.5244,0.0202,-1,-1,0.4841,0.0065
9.0,0.5358,0.0127,0.512,0.013,-1,-1,0.4848,0.0094
10.0,0.5256,0.0112,0.5195,0.0172,-1,-1,0.4806,0.0131
