Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.5331,0.0076,0.5428,0.0208,0.523,0.0171,0.5216,0.0115
0.1,0.5059,0.0053,0.5246,0.0158,-1,-1,0.5154,0.0118
0.2,0.504,0.005,0.5207,0.0102,-1,-1,0.5192,0.0132
0.3,0.5037,0.0194,0.5368,0.0096,-1,-1,0.5182,0.0148
0.4,0.5038,0.0084,0.526,0.0112,-1,-1,0.5219,0.0159
0.5,0.5038,0.0123,0.5427,0.0121,-1,-1,0.5164,0.0109
0.6,0.5033,0.0154,0.5242,0.0194,-1,-1,0.5209,0.013
0.7,0.5018,0.0107,0.5267,0.0122,-1,-1,0.5212,0.0121
0.8,0.5068,0.0119,0.5172,0.0172,-1,-1,0.5175,0.013
0.9,0.5004,0.0192,0.5373,0.0118,-1,-1,0.5224,0.0157
1.0,0.501,0.0122,0.5318,0.0131,-1,-1,0.5139,0.0137
2.0,0.5121,0.0116,0.5184,0.0198,-1,-1,0.5167,0.01
3.0,0.5149,0.0089,0.5321,0.0107,-1,-1,0.5167,0.0136
4.0,0.5167,0.0132,0.531,0.0157,-1,-1,0.5229,0.0138
5.0,0.525,0.019,0.5287,0.0065,-1,-1,0.5224,0.0142
6.0,0.5324,0.0141,0.529,0.017,-1,-1,0.5188,0.0103
7.0,0.5261,0.0036,0.518,0.0136,-1,-1,0.5235,0.0116
8.0,0.5309,0.0185,0.5195,0.0184,-1,-1,0.5173,0.0126
9.0,0.5318,0.0142,0.5183,0.014,-1,-1,0.5179,0.0139
10.0,0.5322,0.0082,0.515,0.0136,-1,-1,0.5188,0.0149
