Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9944,0.0014,0.8271,0.0225,0.5,0.0,0.5,0.0
0.1,0.497,0.0266,0.7888,0.0179,-1,-1,0.5,0.0
0.2,0.497,0.0249,0.7908,0.0189,-1,-1,0.5,0.0
0.3,0.4946,0.0256,0.7932,0.0205,-1,-1,0.5,0.0
0.4,0.4959,0.0301,0.7907,0.0235,-1,-1,0.5,0.0
0.5,0.5007,0.0318,0.7974,0.021,-1,-1,0.5,0.0
0.6,0.5034,0.0337,0.7957,0.0223,-1,-1,0.5,0.0
0.7,0.5012,0.023,0.7977,0.0202,-1,-1,0.5,0.0
0.8,0.5049,0.0307,0.7994,0.0244,-1,-1,0.5,0.0
0.9,0.5098,0.0321,0.8045,0.0236,-1,-1,0.5,0.0
1.0,0.5075,0.0322,0.8015,0.0249,-1,-1,0.5,0.0
2.0,0.5394,0.0434,0.8034,0.0225,-1,-1,0.5,0.0
3.0,0.6107,0.0394,0.8025,0.0201,-1,-1,0.5,0.0
4.0,0.7062,0.0316,0.8004,0.0245,-1,-1,0.5,0.0
5.0,0.8183,0.0194,0.8055,0.022,-1,-1,0.5,0.0
6.0,0.9118,0.0117,0.8046,0.0243,-1,-1,0.5,0.0
7.0,0.9542,0.009,0.804,0.0231,-1,-1,0.5,0.0
8.0,0.97,0.0069,0.8016,0.0234,-1,-1,0.5,0.0
9.0,0.981,0.0048,0.8039,0.0256,-1,-1,0.5,0.0
10.0,0.9866,0.0032,0.8044,0.0215,-1,-1,0.5,0.0
