Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.9893,0.0034,0.7814,0.0239,0.5,0.0,0.5,0.0
0.1,0.5173,0.0123,0.7523,0.0194,-1,-1,0.5,0.0
0.2,0.5171,0.0144,0.7611,0.0116,-1,-1,0.5,0.0
0.3,0.5178,0.0135,0.7635,0.0132,-1,-1,0.5,0.0
0.4,0.5205,0.0126,0.7652,0.0106,-1,-1,0.5,0.0
0.5,0.52,0.0138,0.7666,0.0107,-1,-1,0.5,0.0
0.6,0.5239,0.0154,0.7682,0.0093,-1,-1,0.5,0.0
0.7,0.5255,0.0125,0.7696,0.0096,-1,-1,0.5,0.0
0.8,0.526,0.0149,0.7692,0.0088,-1,-1,0.5,0.0
0.9,0.5264,0.013,0.7713,0.0088,-1,-1,0.5,0.0
1.0,0.5252,0.014,0.771,0.0093,-1,-1,0.5,0.0
2.0,0.5526,0.0134,0.7696,0.0079,-1,-1,0.5,0.0
3.0,0.6127,0.0204,0.7727,0.0086,-1,-1,0.5,0.0
4.0,0.7037,0.0175,0.7722,0.0097,-1,-1,0.5,0.0
5.0,0.8218,0.0113,0.7714,0.0098,-1,-1,0.5,0.0
6.0,0.904,0.0069,0.7704,0.0076,-1,-1,0.5,0.0
7.0,0.9395,0.0054,0.773,0.0098,-1,-1,0.5,0.0
8.0,0.9616,0.0022,0.7709,0.0086,-1,-1,0.5,0.0
9.0,0.9734,0.0034,0.7719,0.0108,-1,-1,0.5,0.0
10.0,0.98,0.0021,0.7715,0.0092,-1,-1,0.5,0.0
