Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,1.0,0.0001,0.4406,0.0154,0.5,0.0,0.5,0.0
0.1,0.4795,0.0474,0.4403,0.0201,-1,-1,0.5,0.0
0.2,0.4937,0.0557,0.4551,0.0434,-1,-1,0.5,0.0
0.3,0.5034,0.0187,0.431,0.0208,-1,-1,0.5,0.0
0.4,0.4948,0.0219,0.434,0.0319,-1,-1,0.5,0.0
0.5,0.5098,0.0186,0.4692,0.0118,-1,-1,0.5,0.0
0.6,0.5161,0.023,0.453,0.015,-1,-1,0.5,0.0
0.7,0.5175,0.0187,0.4468,0.0396,-1,-1,0.5,0.0
0.8,0.5212,0.032,0.4493,0.0252,-1,-1,0.5,0.0
0.9,0.496,0.0167,0.4475,0.0251,-1,-1,0.5,0.0
1.0,0.4891,0.0436,0.4473,0.0241,-1,-1,0.5,0.0
2.0,0.5394,0.0518,0.4616,0.0504,-1,-1,0.5,0.0
3.0,0.5845,0.0637,0.4298,0.0079,-1,-1,0.5,0.0
4.0,0.6104,0.0719,0.4481,0.0134,-1,-1,0.5,0.0
5.0,0.6731,0.0559,0.4504,0.0338,-1,-1,0.5,0.0
6.0,0.8277,0.0357,0.4696,0.0337,-1,-1,0.5,0.0
7.0,0.8642,0.0661,0.4572,0.0129,-1,-1,0.5,0.0
8.0,0.9489,0.0379,0.4356,0.0143,-1,-1,0.5,0.0
9.0,0.969,0.0163,0.4521,0.0269,-1,-1,0.5,0.0
10.0,0.9836,0.0144,0.4437,0.0384,-1,-1,0.5,0.0
