Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.7156,0.0055,0.6246,0.0053,0.596,0.0067,0.6632,0.0029
0.1,0.3506,0.02,0.632,0.0136,-1,-1,0.3238,0.0583
0.2,0.359,0.0097,0.625,0.018,-1,-1,0.4012,0.0567
0.3,0.3482,0.0145,0.6262,0.0107,-1,-1,0.4376,0.0279
0.4,0.359,0.006,0.6282,0.0058,-1,-1,0.4308,0.1136
0.5,0.3558,0.0086,0.6232,0.0166,-1,-1,0.4066,0.1101
0.6,0.3536,0.0125,0.6296,0.0159,-1,-1,0.4628,0.0372
0.7,0.3562,0.0136,0.6308,0.0086,-1,-1,0.4956,0.03
0.8,0.3556,0.0162,0.6296,0.0112,-1,-1,0.4858,0.0437
0.9,0.3538,0.0162,0.631,0.0086,-1,-1,0.493,0.0257
1.0,0.3488,0.0147,0.6306,0.0117,-1,-1,0.4914,0.0274
2.0,0.357,0.012,0.6334,0.0128,-1,-1,0.551,0.0182
3.0,0.3428,0.0146,0.6332,0.0119,-1,-1,0.5902,0.0212
4.0,0.3706,0.0154,0.6394,0.0057,-1,-1,0.607,0.0122
5.0,0.3986,0.0198,0.6294,0.0047,-1,-1,0.6218,0.0076
6.0,0.4512,0.0143,0.6378,0.0093,-1,-1,0.633,0.0107
7.0,0.5474,0.0223,0.6338,0.006,-1,-1,0.6378,0.0108
8.0,0.6336,0.0064,0.6336,0.0087,-1,-1,0.6432,0.0059
9.0,0.6708,0.0116,0.641,0.0053,-1,-1,0.6488,0.0074
10.0,0.6934,0.0059,0.6312,0.0053,-1,-1,0.6522,0.0091
