Epsilon,gcn_mean,gcn_std,gcn_rank20_mean,gcn_rank20_std,mlp_mean,mlp_std,mmlp_nl2_mean,mmlp_nl2_std
0.0,0.7914,0.0046,0.721,0.007,0.7212,0.0041,0.7654,0.0058
0.1,0.5488,0.0102,0.7248,0.007,-1,-1,0.524,0.0623
0.2,0.544,0.007,0.723,0.0086,-1,-1,0.5928,0.0759
0.3,0.548,0.0076,0.719,0.0028,-1,-1,0.603,0.0276
0.4,0.545,0.01,0.7228,0.0055,-1,-1,0.617,0.0294
0.5,0.543,0.0092,0.7256,0.006,-1,-1,0.6322,0.0344
0.6,0.5446,0.0124,0.726,0.0054,-1,-1,0.6206,0.0278
0.7,0.5454,0.0107,0.7278,0.0065,-1,-1,0.6598,0.031
0.8,0.5444,0.0095,0.7236,0.0149,-1,-1,0.6654,0.0356
0.9,0.5424,0.0057,0.7272,0.0144,-1,-1,0.6814,0.014
1.0,0.5402,0.0076,0.7312,0.0085,-1,-1,0.6764,0.0141
2.0,0.5472,0.0098,0.7212,0.011,-1,-1,0.7142,0.0042
3.0,0.5558,0.0043,0.7238,0.0112,-1,-1,0.726,0.0086
4.0,0.5498,0.0083,0.727,0.0127,-1,-1,0.7456,0.0113
5.0,0.5532,0.0205,0.7216,0.0074,-1,-1,0.75,0.0095
6.0,0.555,0.0234,0.7226,0.0073,-1,-1,0.7514,0.0081
7.0,0.5852,0.0163,0.7208,0.0066,-1,-1,0.7594,0.0054
8.0,0.634,0.0121,0.7218,0.0045,-1,-1,0.7528,0.0078
9.0,0.6926,0.0189,0.723,0.0052,-1,-1,0.7562,0.0073
10.0,0.7198,0.0071,0.7216,0.0061,-1,-1,0.7582,0.0098
